[4, 8192, 12288, 'int8', 'int8', 32, 128, 32, 4, 4, 5]
[8, 8192, 12288, 'bfloat16', 'bfloat16', 16, 128, 32, 4, 4, 4]
[12, 8192, 12288, 'float16', 'float16', 16, 128, 64, 16, 4, 5]
[16, 8192, 12288, 'float16', 'float16', 16, 128, 32, 4, 4, 5]
[20, 8192, 12288, 'bfloat16', 'bfloat16', 32, 256, 32, 8, 4, 4]
[24, 8192, 12288, 'float16', 'float16', 32, 128, 64, 4, 4, 4]
[28, 8192, 12288, 'bfloat16', 'bfloat16', 32, 128, 32, 4, 4, 4]
[32, 8192, 12288, 'int8', 'int8', 32, 128, 32, 8, 4, 5]
[36, 8192, 12288, 'float16', 'float16', 16, 128, 64, 16, 4, 4]
[40, 8192, 12288, 'float16', 'float16', 64, 128, 32, 8, 4, 4]
[44, 8192, 12288, 'float16', 'float16', 64, 128, 32, 8, 4, 4]
[48, 8192, 12288, 'float32', 'float32', 16, 64, 64, 4, 2, 4]
[52, 8192, 12288, 'float16', 'float16', 64, 128, 32, 8, 4, 4]
[56, 8192, 12288, 'int8', 'int8', 64, 256, 32, 8, 4, 4]
[60, 8192, 12288, 'float16', 'float16', 64, 128, 32, 4, 4, 5]
[64, 8192, 12288, 'float16', 'float16', 64, 128, 32, 16, 4, 4]
[68, 8192, 12288, 'float32', 'float32', 16, 64, 64, 8, 2, 4]
[72, 8192, 12288, 'int8', 'int8', 128, 128, 32, 4, 4, 4]
[76, 8192, 12288, 'int8', 'int8', 128, 128, 32, 4, 4, 5]
[80, 8192, 12288, 'bfloat16', 'bfloat16', 32, 128, 64, 16, 4, 4]
[84, 8192, 12288, 'float16', 'float16', 32, 64, 64, 16, 2, 4]
[88, 8192, 12288, 'int8', 'int8', 128, 128, 32, 8, 4, 5]
[92, 8192, 12288, 'int8', 'int8', 128, 128, 32, 16, 4, 5]
[96, 8192, 12288, 'int8', 'int8', 128, 128, 32, 8, 4, 5]
[100, 8192, 12288, 'bfloat16', 'bfloat16', 64, 64, 32, 8, 2, 4]
[104, 8192, 12288, 'float32', 'float32', 16, 64, 64, 8, 2, 4]
[108, 8192, 12288, 'float16', 'float16', 64, 128, 32, 4, 4, 4]
[112, 8192, 12288, 'float16', 'float16', 64, 128, 32, 16, 4, 4]
[116, 8192, 12288, 'int8', 'int8', 128, 128, 32, 16, 4, 5]
[120, 8192, 12288, 'float32', 'float32', 32, 64, 64, 4, 2, 4]
[124, 8192, 12288, 'float16', 'float16', 128, 128, 32, 8, 4, 5]
[128, 8192, 12288, 'bfloat16', 'bfloat16', 32, 128, 32, 16, 4, 4]
[4, 8192, 12288, 'int8', 'int8', 32, 128, 32, 4, 4, 5]
[8, 8192, 12288, 'bfloat16', 'bfloat16', 16, 128, 32, 4, 4, 5]
[12, 8192, 12288, 'float16', 'float16', 16, 128, 32, 8, 4, 5]
[16, 8192, 12288, 'float16', 'float16', 16, 128, 64, 16, 4, 4]
[20, 8192, 12288, 'bfloat16', 'bfloat16', 32, 256, 32, 8, 4, 5]
[24, 8192, 12288, 'float16', 'float16', 32, 128, 64, 8, 4, 4]
[28, 8192, 12288, 'bfloat16', 'bfloat16', 32, 256, 32, 16, 4, 4]
[32, 8192, 12288, 'int8', 'int8', 32, 128, 32, 16, 4, 5]
[36, 8192, 12288, 'float16', 'float16', 16, 128, 64, 4, 4, 4]
[40, 8192, 12288, 'float16', 'float16', 16, 128, 64, 16, 4, 4]
[44, 8192, 12288, 'float16', 'float16', 16, 128, 64, 8, 4, 4]
[48, 8192, 12288, 'float32', 'float32', 16, 64, 64, 16, 2, 4]
[52, 8192, 12288, 'float16', 'float16', 64, 128, 32, 8, 4, 4]
[56, 8192, 12288, 'int8', 'int8', 64, 256, 32, 4, 4, 4]
[60, 8192, 12288, 'float16', 'float16', 64, 128, 32, 4, 4, 4]
[64, 8192, 12288, 'float16', 'float16', 64, 128, 32, 16, 4, 4]
[68, 8192, 12288, 'float32', 'float32', 16, 64, 64, 16, 2, 4]
[72, 8192, 12288, 'int8', 'int8', 128, 128, 32, 8, 4, 5]
[76, 8192, 12288, 'int8', 'int8', 128, 64, 32, 4, 2, 5]
[80, 8192, 12288, 'bfloat16', 'bfloat16', 32, 128, 32, 4, 4, 5]
[84, 8192, 12288, 'float16', 'float16', 32, 64, 64, 4, 2, 4]
[88, 8192, 12288, 'int8', 'int8', 128, 64, 32, 16, 2, 4]
[92, 8192, 12288, 'int8', 'int8', 128, 128, 32, 8, 4, 4]
[4, 8192, 12288, 'int8', 'int8', 32, 128, 32, 16, 4, 5]
[8, 8192, 12288, 'bfloat16', 'bfloat16', 16, 128, 32, 4, 4, 4]
[12, 8192, 12288, 'float16', 'float16', 16, 128, 64, 4, 4, 4]
[16, 8192, 12288, 'float16', 'float16', 16, 128, 64, 4, 4, 4]
[20, 8192, 12288, 'bfloat16', 'bfloat16', 32, 256, 32, 16, 4, 4]
[24, 8192, 12288, 'float16', 'float16', 32, 128, 64, 4, 4, 4]
[28, 8192, 12288, 'bfloat16', 'bfloat16', 32, 128, 32, 4, 4, 4]
[32, 8192, 12288, 'int8', 'int8', 32, 128, 32, 16, 4, 5]
[36, 8192, 12288, 'float16', 'float16', 16, 128, 64, 8, 4, 4]
[40, 8192, 12288, 'float16', 'float16', 64, 128, 32, 4, 4, 4]
[44, 8192, 12288, 'float16', 'float16', 64, 128, 32, 8, 4, 4]
[48, 8192, 12288, 'float32', 'float32', 16, 64, 64, 4, 2, 4]
[52, 8192, 12288, 'float16', 'float16', 64, 128, 32, 16, 4, 4]
[56, 8192, 12288, 'int8', 'int8', 64, 256, 32, 8, 4, 4]
[60, 8192, 12288, 'float16', 'float16', 64, 128, 32, 4, 4, 5]
